11:21:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:21:38     228    0.00    0.00    0.00    0.00    0.00    0.00    0.00   35.00    0.00   65.00
11:21:38     229    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     230    0.00    0.00   44.44    0.00    0.00    0.00    0.00   12.12    0.00   43.43
11:21:38     231    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.14    0.00   61.86
11:21:38     232    0.00    0.00    3.09    0.00    0.00    0.00    0.00   18.56    0.00   78.35
11:21:38     233    0.00    0.00   11.22    0.00    0.00    0.00    0.00    2.04    0.00   86.73
11:21:38     234    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
11:21:38     235    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:21:38     236    0.00    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   91.84
11:21:38     237    0.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
11:21:38     238    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     239    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     240    0.00    0.00    3.12    0.00    0.00    0.00    0.00    2.08    0.00   94.79
11:21:38     241    1.02    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   88.78
11:21:38     242    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     243    1.96    0.00    0.00    0.00    0.00    0.00    0.00    1.96    0.00   96.08
11:21:38     244    0.00    0.00   27.55    0.00    0.00    0.00    0.00    0.00    0.00   72.45
11:21:38     245    0.00    0.00   24.24    0.00    0.00    0.00    0.00    0.00    0.00   75.76
11:21:38     246    0.00    0.00   37.37    0.00    0.00    0.00    0.00   62.63    0.00    0.00
11:21:38     247    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     248    0.00    0.00   21.21    0.00    0.00    0.00    0.00    0.00    0.00   78.79
11:21:38     249    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
11:21:38     250    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     251    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     252    0.00    0.00   62.89    0.00    0.00    0.00    0.00    0.00    0.00   37.11
11:21:38     253    0.00    0.00   31.58    0.00    0.00    0.00    0.00   24.21    0.00   44.21
11:21:38     254    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     255    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:21:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:21:39     all    0.38    0.00    9.73    0.78    0.00    0.25    0.00   16.74    0.00   72.04
11:21:39       0    1.20    0.00    0.00    0.00    0.00    0.00    0.00    7.23    0.00   91.57
11:21:39       1    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
11:21:39       2    0.00    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   98.92
